gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,pagerank,betweenness,n_seed_payers,n_seed_upstream,component_id,depth,is_seed,truncated,verified_sink
100000004174835100,peripheral,1.0000,74,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,21,0,true,false,false
100000004193835100,peripheral,1.0000,4,0.2584,"вход 1/47 тыс KZT, выход 1/5 тыс KZT (пропуск 11%): признаков роли нет",1,1,47000,5000,1,1,0.1064,0.000467133,33.7,0,3,0,0,true,false,false
100000004269433100,peripheral,1.0000,59,0.0219,"вход 0/0 KZT, выход 1/1.4 млн KZT (пропуск н/д): признаков роли нет",0,1,0,1372000,0,67,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000004358004100,peripheral,0.6300,2,0.0219,"вход 0/0 KZT, выход 11/981 тыс KZT (пропуск н/д): признаков роли нет",0,11,0,980850,0,17,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000004388983100,peripheral,1.0000,63,0.0219,"вход 0/0 KZT, выход 2/451 тыс KZT (пропуск н/д): признаков роли нет",0,2,0,450816,0,23,-1.0000,0.000284037,0,0,0,13,0,true,false,false
100000004714705100,peripheral,1.0000,17,0.0219,"вход 0/0 KZT, выход 1/37 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,36550,0,1,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000004723755100,peripheral,1.0000,2,0.0219,"вход 0/0 KZT, выход 1/95 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,95000,0,5,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000004813068100,peripheral,1.0000,21,0.0219,"вход 0/0 KZT, выход 3/297 тыс KZT (пропуск н/д): признаков роли нет",0,3,0,297000,0,5,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000004971871100,peripheral,1.0000,57,0.1710,"вход 1/25 тыс KZT, выход 1/6 тыс KZT (пропуск 22%): признаков роли нет",1,1,25400,5650,3,1,0.2224,0.000736954,0,0,0,11,0,true,false,false
100000005017150100,peripheral,1.0000,75,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,22,0,true,false,false
100000005087431100,peripheral,1.0000,76,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,23,0,true,false,false
100000005235389100,peripheral,1.0000,77,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,24,0,true,false,false
100000005264990100,peripheral,1.0000,17,0.2113,"вход 1/17 тыс KZT, выход 2/122 тыс KZT (пропуск 715%): признаков роли нет",1,2,17070,122000,1,2,7.1470,0.00036189,391.9,0,2,0,0,true,false,false
100000005370580100,peripheral,1.0000,12,0.1933,"вход 1/24 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,24075,0,1,0,0.0000,0.000343996,0,0,2,0,0,true,false,true
100000005382566100,consolidator,1.0000,17,0.4799,"консолидация: получает от 7 плательщиков (из них seed: 6) 393 тыс KZT, отдаёт дальше 13% (1 получ.)",7,1,393066,50000,11,1,0.1272,0.00209776,234,6,11,0,0,true,false,false
100000005386383100,peripheral,1.0000,17,0.3114,"вход 2/38 тыс KZT, выход 1/29 тыс KZT (пропуск 77%): признаков роли нет",2,1,37500,29000,2,1,0.7733,0.00052122,143.95,0,4,0,0,true,false,false
100000005392290100,peripheral,1.0000,67,0.0219,"вход 0/0 KZT, выход 1/81 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,81465,0,1,-1.0000,0.000284037,0,0,0,15,0,true,false,false
100000005395727100,peripheral,1.0000,15,0.1972,"вход 1/17 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,17000,0,1,0,0.0000,0.000369107,0,0,3,0,0,true,false,true
100000005409680100,peripheral,0.6100,16,0.3081,"вход 2/55 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",2,0,55060,0,2,0,0.0000,0.000629323,0,0,4,0,0,true,false,true
100000005417257100,peripheral,1.0000,17,0.0219,"вход 0/0 KZT, выход 2/106 тыс KZT (пропуск н/д): признаков роли нет",0,2,0,106000,0,2,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000005454368100,peripheral,0.6200,12,0.2657,"вход 2/49 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",2,0,48600,0,2,0,0.0000,0.000391886,0,0,2,0,0,true,false,true
100000005480435100,peripheral,1.0000,78,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,25,0,true,false,false
100000005485830100,peripheral,0.8300,44,0.0219,"вход 0/0 KZT, выход 5/276 тыс KZT (пропуск н/д): признаков роли нет",0,5,0,275885,0,9,-1.0000,0.000284037,0,0,0,6,0,true,false,false
100000005493505100,terminal,0.5600,2,0.3523,"конечный получатель: получил 62 тыс KZT от 3 (3 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 0)",3,0,62020,0,3,0,0.0000,0.000613666,0,1,6,0,0,true,false,true
100000005495722100,peripheral,1.0000,79,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,26,0,true,false,false
100000005498992100,distributor,0.5300,3,0.0744,"веер: 16 получателей, 19 переводов на 2.3 млн KZT; входов 0 на 0 KZT",0,16,0,2262868,0,19,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000005519347100,peripheral,1.0000,4,0.3315,"вход 2/73 тыс KZT, выход 1/99 тыс KZT (пропуск 135%): признаков роли нет",2,1,73100,99000,2,1,1.3543,0.000553151,7.66667,1,4,0,0,true,false,false
100000005523088100,terminal,0.6700,17,0.3563,"конечный получатель: получил 700 тыс KZT от 1 (2 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 0)",1,0,700000,0,2,0,0.0000,0.0017043,0,1,7,0,0,true,false,true
100000005543136100,peripheral,1.0000,2,0.0219,"вход 0/0 KZT, выход 1/10 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,10000,0,1,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000005550592100,peripheral,1.0000,80,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,27,0,true,false,false
100000005560900100,peripheral,1.0000,81,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,28,0,true,false,false
100000005568407100,peripheral,1.0000,82,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,29,0,true,false,false
100000005668605100,terminal,0.5900,17,0.3663,"конечный получатель: получил 94 тыс KZT от 3 (3 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 0)",3,0,94500,0,3,0,0.0000,0.000832753,0,1,7,0,0,true,false,true
100000005744674100,peripheral,1.0000,17,0.0219,"вход 0/0 KZT, выход 1/50 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,50066,0,2,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000006232815100,peripheral,0.8300,27,0.2382,"вход 1/160 тыс KZT, выход 5/296 тыс KZT (пропуск 185%): признаков роли нет",1,5,160000,296500,2,5,1.8531,0.000552707,14,0,0,3,0,true,false,false
100000006249740100,peripheral,1.0000,52,0.0219,"вход 0/0 KZT, выход 3/93 тыс KZT (пропуск н/д): признаков роли нет",0,3,0,93007,0,5,-1.0000,0.000284037,0,0,0,9,0,true,false,false
100000006831291100,peripheral,1.0000,52,0.0219,"вход 0/0 KZT, выход 1/15 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,15000,0,3,-1.0000,0.000284037,0,0,0,9,0,true,false,false
100000006866783100,coordinator,0.9500,1,0.4776,"координация: вход 13/839 тыс KZT, выход 67/3.9 млн KZT; посредничество top-3% (30509), кластеров на входе 4, seed выше по цепочке 3",13,67,838812,3948037,31,90,4.7067,0.000864797,30508.8,0,3,0,0,true,false,false
100000007018630100,peripheral,1.0000,60,0.0219,"вход 0/0 KZT, выход 1/200 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,200000,0,5,-1.0000,0.000284037,0,0,0,12,0,true,false,false
100000007747786100,distributor,1.0000,7,0.0744,"веер: 31 получателей, 35 переводов на 4.2 млн KZT; входов 0 на 0 KZT",0,31,0,4238009,0,35,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000007982728100,peripheral,0.7300,7,0.0219,"вход 0/0 KZT, выход 8/1.8 млн KZT (пропуск н/д): признаков роли нет",0,8,0,1804384,0,12,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000008117324100,peripheral,1.0000,83,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,30,0,true,false,false
100000008205000100,peripheral,1.0000,84,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,31,0,true,false,false
100000008314203100,peripheral,1.0000,36,0.3350,"вход 2/382 тыс KZT, выход 2/327 тыс KZT (пропуск 86%): признаков роли нет",2,2,382076,327000,10,13,0.8559,0.000499232,0,2,3,0,0,true,false,false
100000008418835100,peripheral,1.0000,59,0.2931,"вход 1/1.4 млн KZT, выход 4/186 тыс KZT (пропуск 14%): признаков роли нет",1,4,1372000,186179,67,6,0.1357,0.000525469,1598,1,1,0,0,true,false,false
100000008513251100,peripheral,1.0000,85,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,32,0,true,false,false
100000008516839100,terminal,0.6600,17,0.3678,"конечный получатель: получил 155 тыс KZT от 3 (4 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 0)",3,0,155000,0,4,0,0.0000,0.00106267,0,1,3,0,0,true,false,true
100000008522127100,peripheral,1.0000,61,0.0219,"вход 0/0 KZT, выход 1/145 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,145000,0,3,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000008571433100,peripheral,1.0000,51,0.3073,"вход 2/350 тыс KZT, выход 2/1.4 млн KZT (пропуск 410%): признаков роли нет",2,2,350000,1434000,2,3,4.0971,0.00162767,5,0,0,8,0,true,false,false
100000008575624100,peripheral,1.0000,47,0.0219,"вход 0/0 KZT, выход 3/90 тыс KZT (пропуск н/д): признаков роли нет",0,3,0,89500,0,5,-1.0000,0.000284037,0,0,0,7,0,true,false,false
100000008601794100,peripheral,1.0000,55,0.3135,"вход 2/494 тыс KZT, выход 1/871 тыс KZT (пропуск 176%): признаков роли нет",2,1,494400,871400,8,13,1.7625,0.00244031,2,0,0,10,0,true,false,false
100000008637537100,peripheral,0.8500,36,0.3980,"вход 3/620 тыс KZT, выход 3/2.4 млн KZT (пропуск 379%): признаков роли нет",3,3,619890,2351495,22,30,3.7934,0.000822011,391.303,2,4,0,0,true,false,false
100000008650785100,peripheral,1.0000,4,0.3443,"вход 2/92 тыс KZT, выход 2/120 тыс KZT (пропуск 131%): признаков роли нет",2,2,92000,120120,2,2,1.3057,0.000608727,113.167,1,4,0,0,true,false,false
100000008654653100,peripheral,1.0000,4,0.0219,"вход 0/0 KZT, выход 1/54 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,54000,0,1,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000008659445100,peripheral,1.0000,41,0.2962,"вход 3/138 тыс KZT, выход 4/875 тыс KZT (пропуск 632%): признаков роли нет",3,4,138490,875150,7,18,6.3192,0.00254666,5,0,0,4,0,true,false,false
100000008669037100,peripheral,1.0000,86,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,33,0,true,false,false
100000008673001100,peripheral,1.0000,17,0.2129,"вход 1/80 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,80000,0,1,0,0.0000,0.00046625,0,1,1,0,0,true,false,true
100000008680731100,distributor,0.9000,9,0.0744,"веер: 27 получателей, 28 переводов на 1.5 млн KZT; входов 0 на 0 KZT",0,27,0,1464354,0,28,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000008701222100,peripheral,1.0000,87,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,34,0,true,false,false
100000008738325100,peripheral,1.0000,17,0.2111,"вход 1/37 тыс KZT, выход 1/54 тыс KZT (пропуск 148%): признаков роли нет",1,1,36550,54000,1,1,1.4774,0.000525469,1,1,1,0,0,true,false,false
100000003134937100,peripheral,1.0000,4,0.2540,"вход 1/10 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,10286,0,1,0,0.0000,0.000285136,0,1,2,0,1,false,false,true
100000005074393100,transit,0.6500,12,0.8908,"транзит: получил 563 тыс KZT от 4, отдал 686 тыс KZT на 6 (пропуск 122%); в течение 2 дней ушло 7%",4,6,563026,685500,5,10,1.2175,0.00105268,1095,1,6,0,1,false,false,false
100000001924185100,peripheral,0.5200,10,0.6128,"вход 2/151 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",2,0,151000,0,2,0,0.0000,0.000308532,0,2,8,0,1,false,false,true
100000004070318100,coordinator,0.8800,1,0.8153,"координация: вход 4/207 тыс KZT, выход 19/552 тыс KZT; посредничество top-3% (10463), кластеров на входе 2, seed выше по цепочке 2",4,19,207247,551860,6,37,2.6628,0.000312376,10463.3,1,2,0,1,false,false,false
100000005807278100,peripheral,1.0000,44,0.2203,"вход 1/8 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,8385,0,1,0,0.0000,0.000291375,0,1,1,6,1,false,false,true
100000003377795100,peripheral,1.0000,7,0.1815,"вход 1/7 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,7000,0,1,0,0.0000,0.000284436,0,1,1,0,1,false,false,true
100000004330371100,peripheral,1.0000,4,0.7192,"вход 2/264 тыс KZT, выход 2/91 тыс KZT (пропуск 34%): признаков роли нет",2,2,264171,90681,12,6,0.3433,0.00124972,1689,1,2,0,1,false,false,false
100000008165763100,transit,0.9900,2,0.9068,"транзит: получил 1.2 млн KZT от 15, отдал 1.3 млн KZT на 17 (пропуск 109%); в течение 2 дней ушло 68%",15,17,1165815,1267858,26,17,1.0875,0.000904543,1742.62,1,6,0,1,false,false,false
100000001684867100,peripheral,1.0000,4,0.3310,"вход 1/31 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,30550,0,1,0,0.0000,0.0002873,0,1,2,0,1,false,false,true
100000003900547100,peripheral,1.0000,4,0.3044,"вход 1/24 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,23700,0,1,0,0.0000,0.000286569,0,1,2,0,1,false,false,true
100000006656003100,peripheral,1.0000,0,0.2503,"вход 1/20 тыс KZT, выход 1/9 тыс KZT (пропуск 45%): признаков роли нет",1,1,20000,9000,1,1,0.4500,0.000288203,0,1,1,1,1,false,false,false
100000008237827100,peripheral,1.0000,2,0.4097,"вход 1/40 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,40001,0,1,0,0.0000,0.000291982,0,1,4,0,1,false,false,true
100000003014659100,peripheral,0.5500,10,0.5619,"вход 1/280 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,280000,0,1,0,0.0000,0.000326268,0,1,5,0,1,false,false,true
100000007939160100,peripheral,1.0000,42,0.5751,"вход 1/795 тыс KZT, выход 2/14 тыс KZT (пропуск 2%): признаков роли нет",1,2,795000,14300,2,2,0.0180,0.000660478,2,1,1,5,1,false,false,false
100000007274584100,peripheral,1.0000,2,0.4046,"вход 1/38 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,38000,0,1,0,0.0000,0.000291585,0,1,4,0,1,false,false,true
100000001524952100,peripheral,0.7300,1,0.3939,"вход 1/104 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,103807,0,1,0,0.0000,0.000303365,0,1,1,0,1,false,false,true
100000003131693100,terminal,0.5200,2,0.6335,"конечный получатель: получил 353 тыс KZT от 1 (1 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 1)",1,0,353277,0,1,0,0.0000,0.000354204,0,1,4,0,1,false,false,true
100000008383405100,peripheral,1.0000,21,0.3086,"вход 1/25 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,25000,0,2,0,0.0000,0.00030436,0,1,1,0,1,false,false,true
100000008736173100,peripheral,1.0000,0,0.2937,"вход 1/31 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,31060,0,1,0,0.0000,0.000290507,0,1,1,1,1,false,false,true
100000002861485100,peripheral,1.0000,4,0.3243,"вход 1/29 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,29323,0,1,0,0.0000,0.000287169,0,1,2,0,1,false,false,true
100000008745474100,peripheral,1.0000,0,0.3154,"вход 1/41 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,40559,0,1,0,0.0000,0.000292486,0,1,1,1,1,false,false,true
100000008691330100,peripheral,1.0000,0,0.2576,"вход 1/21 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,21440,0,1,0,0.0000,0.000288503,0,1,1,1,1,false,false,true
100000007639767100,coordinator,0.8800,30,0.7581,"координация: вход 4/91 тыс KZT, выход 10/822 тыс KZT; посредничество top-3% (12674), кластеров на входе 2, seed выше по цепочке 2",4,10,90913,822244,4,13,9.0443,0.000299783,12673.5,1,2,0,1,false,false,false
100000002921047100,peripheral,1.0000,7,0.6766,"вход 2/338 тыс KZT, выход 1/163 тыс KZT (пропуск 48%): признаков роли нет",2,1,338000,163000,2,1,0.4822,0.000315302,109,1,3,0,1,false,false,false
100000004783447100,peripheral,1.0000,0,0.2782,"вход 1/26 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,26200,0,1,0,0.0000,0.000289495,0,1,1,1,1,false,false,true
100000008696919100,peripheral,1.0000,0,0.2960,"вход 1/32 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,31945,0,1,0,0.0000,0.000290692,0,1,1,1,1,false,false,true
100000008736940100,peripheral,0.7000,41,0.6820,"вход 3/451 тыс KZT, выход 3/182 тыс KZT (пропуск 40%): признаков роли нет",3,3,451090,182100,13,6,0.4037,0.00253832,4,1,1,4,1,false,false,false
100000005940652100,peripheral,1.0000,36,0.2914,"вход 1/8 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,8395,0,1,0,0.0000,0.000286532,0,1,4,0,1,false,false,true
100000004180097100,peripheral,0.7300,1,0.6346,"вход 3/105 тыс KZT, выход 3/48 тыс KZT (пропуск 46%): признаков роли нет",3,3,104854,47800,5,7,0.4559,0.000849807,1583,1,1,0,1,false,false,false
100000005539201100,peripheral,1.0000,4,0.4136,"вход 1/46 тыс KZT, выход 1/25 тыс KZT (пропуск 55%): признаков роли нет",1,1,45504,25000,1,1,0.5494,0.000288898,211.833,1,2,0,1,false,false,false
100000005620225100,peripheral,0.6200,1,0.4228,"вход 2/50 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",2,0,49846,0,2,0,0.0000,0.000294622,0,1,1,0,1,false,false,true
100000004388353100,peripheral,0.6000,10,0.5869,"вход 2/63 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",2,0,62960,0,2,0,0.0000,0.000338845,0,1,6,0,1,false,false,true
100000007442518100,peripheral,1.0000,28,0.7991,"вход 5/510 тыс KZT, выход 9/4.4 млн KZT (пропуск 867%): признаков роли нет",5,9,510000,4419999,8,12,8.6667,0.000643709,1273,1,4,0,1,false,false,false
100000000267734100,peripheral,0.7700,7,0.6066,"вход 2/180 тыс KZT, выход 7/282 тыс KZT (пропуск 157%): признаков роли нет",2,7,180000,282000,4,8,1.5667,0.000533901,18,1,1,0,1,false,false,false
100000001987030100,peripheral,1.0000,15,0.5238,"вход 2/31 тыс KZT, выход 1/19 тыс KZT (пропуск 62%): признаков роли нет",2,1,30864,19000,2,1,0.6156,0.000292278,288,1,3,0,1,false,false,false
100000002603478100,peripheral,1.0000,9,0.2582,"вход 1/24 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,23500,0,1,0,0.0000,0.000287912,0,1,1,0,1,false,false,true
100000001380054100,peripheral,1.0000,27,0.6040,"вход 2/127 тыс KZT, выход 3/360 тыс KZT (пропуск 283%): признаков роли нет",2,3,127050,360000,2,4,2.8335,0.000711185,14,1,1,3,1,false,false,false
100000002992171100,peripheral,1.0000,0,0.2208,"вход 1/15 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,14627,0,1,0,0.0000,0.000287084,0,1,1,1,1,false,false,true
100000002781227100,transit,0.9800,61,0.7265,"транзит: получил 191 тыс KZT от 2, отдал 212 тыс KZT на 3 (пропуск 111%); в течение 2 дней ушло 81%",2,3,191168,212420,8,10,1.1112,0.00237324,671,1,1,0,1,false,false,false
100000008745643100,peripheral,1.0000,0,0.2541,"вход 1/20 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,20313,0,1,0,0.0000,0.000288269,0,1,1,1,1,false,false,true
100000002836736100,terminal,0.8300,7,0.7354,"конечный получатель: получил 509 тыс KZT от 2 (2 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 1)",2,0,509000,0,2,0,0.0000,0.000449101,0,1,3,0,1,false,false,true
100000004188160100,coordinator,0.9100,4,0.7495,"координация: вход 2/88 тыс KZT, выход 5/134 тыс KZT; посредничество top-3% (12416), кластеров на входе 2, seed выше по цепочке 3",2,5,87862,133846,5,6,1.5234,0.000295218,12415.6,1,3,0,1,false,false,false
100000004841728100,peripheral,1.0000,0,0.3409,"вход 1/52 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,52208,0,1,0,0.0000,0.000294913,0,1,1,1,1,false,false,true
100000001554432100,peripheral,1.0000,2,0.4396,"вход 1/54 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,53920,0,1,0,0.0000,0.000294747,0,1,4,0,1,false,false,true
100000008768896100,peripheral,1.0000,0,0.3276,"вход 1/47 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,47060,0,1,0,0.0000,0.00029384,0,1,1,1,1,false,false,true
