cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,component_id,sum_kzt_in,sum_kzt_out,n_cycles,n_consolidator,n_transit,n_distributor,n_terminal,n_coordinator,n_peripheral
15,37,1,3715241,100000004156082100;100000002956898100;100000000076451100;100000003221384100;100000008625905100,"Кластер 15 (37 узлов, 1 seed) с оборотом 3,7 млн KZT и координатором 100000004156082100 (вывод 2,3 млн KZT) при наличии terminal 100000002956898100 и 100000003221384100 показывает признаки узла согласованного перераспределения сумм от seed к нескольким конечным получателям.",0,303404,238464,3,0,2,0,2,1,32
16,30,1,6513430,100000008546855100;100000006274203100;100000007594394100;100000001049200100;100000001690558100,"Кластер 16 (30 узлов, 1 seed) с высоким внутренним оборотом 6,5 млн KZT при небольшом выходе 147 тыс KZT и консолидацией в 100000008546855100, а также аномальными потоками через 100000006274203100/100000007594394100, демонстрирует признаки замкнутого контура накопления/перекручивания средств.",0,436127,147115,6,1,3,0,2,1,23
17,26,14,2289450,100000004403675100;100000004744306100;100000003988112100;100000001386612100;100000003823811100,"Кластер 17 (26 узлов, 14 seed) с внутренним оборотом 2,3 млн KZT и координатором 100000004403675100, через которого проходят входы от нескольких seed, имеет признаки ячейки с общим сборщиком/распределителем сумм от множества связанных клиентов.",0,203680,101495,2,1,0,0,3,1,21
18,25,0,7556605,100000001303311100;100000007229557100;100000001887715100;100000002748532100;100000001141268100,"Кластер 18 (25 узлов, без seed) с внутренним оборотом 7,6 млн KZT и большой долей terminal (10 узлов, в т.ч. 100000001303311100 и 100000007229557100) демонстрирует признаки концентрированной доставки значительных сумм к конечным получателям при ограниченных внешних потоках.",0,1134629,743780,0,0,0,0,10,1,14
19,20,0,617900,100000002448088100;100000003154105100;100000001427082100;100000002185328100;100000000723383100,"Кластер 19 (20 узлов, без seed) с относительно небольшим оборотом 618 тыс KZT и единичным транзитным узлом 100000002448088100, через которого быстро проходит 20→25 тыс KZT, может представлять собой вспомогательную цепочку мелкого прогона/расщепления средств для проверки.",0,16800,0,0,0,1,0,0,0,19
20,18,0,3422800,100000003701161100;100000003718221100;100000002267998100;100000008137435100;100000003104347100,"Кластер 20 (18 узлов, 0 seed, оборот внутри 3.4 млн KZT) имеет признаки локальной консолидации: узел 100000003701161100 аккумулирует около 1.5 млн KZT и мало выводит, при поддержке транзита 100000003718221100 — требуется проверка на роль внутреннего сборщика.",0,302009,51400,5,1,1,0,0,0,16
21,17,1,21586840,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000000594783100,"Кластер 21 (17 узлов, 1 seed, внутри 21.6 млн KZT при внешнем входе всего 17 тыс) похож на автономный контур перераспределения; крупные прокачки через 100000002224132100 (пропуск 307%) и 100000004603109100 (2.7 млн KZT) создают признаки внутренней «мойки» без выраженного конечного получателя.",0,17000,0,10,0,0,0,1,0,16
22,17,1,2977887,100000004144536100;100000002731501100;100000004005964100;100000001330595100;100000003616818100,"Кластер 22 (17 узлов, 1 seed, около 3.0 млн KZT только во внутренних переводах) напоминает малый рассеивающий контур с неявным центром; terminal 100000004144536100 и транзит 100000004005964100 в возвратном цикле создают признаки дробления и прокачки без выхода из кластера.",2,0,0,22,0,1,0,1,0,15
23,15,0,850450,100000002472632100;100000001526235100;100000005505655100;100000002984403100;100000002708624100,"Кластер 23 (15 узлов, 0 seed, внутри 850 тыс KZT) выглядит как малый малоструктурированный контур; узлы 100000002472632100 (502 тыс входа) и 100000001526235100 (выход 433 тыс, пропуск 528%) могут играть роль локальных накопителей/распределителей, требуется точечный анализ связей.",0,13070,0,3,0,1,0,0,0,14
24,15,0,3626010,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,"Кластер 24 (15 узлов, 0 seed, внутри 3.6 млн KZT при минимальном внешнем входе 5 тыс) напоминает внутренний контур перераспределения; крупный прокачивающий узел 100000008461532100 и terminal 100000003122817100 указывают на возможную схему рассевания средств по конечным получателям.",0,5300,0,1,0,1,0,1,0,13
25,15,0,3436955,100000003111305100;100000005171642100;100000004221668100;100000001985793100;100000006664478100,"Кластер 25 (15 узлов, 0 seed, внутри 3.4 млн KZT, внешний вход 541 тыс, выход 190 тыс) имеет признаки последовательного ввода и оседания: транзит 100000005171642100 ускоренно прокачивает 697 тыс KZT, а terminal’ы 100000003111305100 и 100000001985793100 аккумулируют около 930 тыс KZT.",0,541373,190000,3,0,2,0,2,0,11
26,14,0,1605604,100000008213966100;100000007382543100;100000000838385100;100000003001661100;100000004407753100,"Кластер 26 (14 узлов, 0 seed, внутри 1.6 млн KZT при входе 31 тыс) похож на рассеивающий «веер» без явного сборщика; узлы 100000008213966100 (выход 437 тыс, пропуск 234%) и 100000007382543100 (427 тыс, пропуск 196%) создают признаки внутренней прокачки и возможного дробления.",0,31000,0,3,0,0,0,0,0,14
27,13,1,1392916,100000001380054100;100000003164661100;100000005077484100;100000000703894100;100000004192865100,"Кластер 27 (13 узлов, 1 seed, внутри 1.4 млн KZT без внешних входов/выходов) выглядит как периферийная цепочка с оседанием: terminal 100000003164661100 аккумулирует 596 тыс KZT, а мелкие прокачки через 100000001380054100 (пропуск 283%) требуют проверки на роль локального распределителя.",3,0,0,2,0,0,0,1,0,12
28,13,0,6748650,100000007442518100;100000008258083100;100000000821507100;100000000673868100;100000002911170100,"Кластер 28 (13 узлов, 0 seed, внутри 6.7 млн KZT при входе 395 тыс и выходе 100 тыс) имеет признаки активной внутренней прокачки: узел 100000007442518100 (пропуск 867%) и 100000008258083100 (до 3.1 млн входа) могут играть роль центральных распределителей при конечном оседании на 100000000821507100.",0,395000,99999,2,0,0,0,1,0,12
29,11,0,3784703,100000003004487100;100000002175422100;100000003557488100;100000002710570100;100000002975437100,"Кластер 29 (11 узлов, 0 seed, внутри 3.8 млн KZT при входе ~69 тыс) напоминает компактный контур перераспределения; сильный разрыв между небольшим входом и крупным выходом у 100000002175422100 (1.6 млн, пропуск 2367%) и 100000003004487100 (пропуск 144%) создаёт признаки возможного внутреннего «насоса» средств.",0,68703,0,3,0,0,0,0,0,11
30,10,0,1929435,100000007629096100;100000002741024100;100000007639767100;100000008701256100;100000008680912100,"Кластер 30 (10 узлов, 0 seed, внутр. 1.9 млн KZT) выглядит как малый транзитный контур с координацией через 100000007639767100 и активным транзитом 100000007629096100 (пропуск 71%), в т.ч. с возвратными циклами — признаки перераспределения внутри сети.",0,342868,263994,5,0,1,0,0,1,8
31,10,0,322010,100000008172352100;100000007322059100;100000000993112100;100000004552204100;100000002691858100,"Кластер 31 (10 узлов, 0 seed, внутр. 322 тыс KZT, низкий внешний оборот) похож на слабоструктурированный локальный контур с единичным транзитным узлом 100000007322059100 и повышенным пропуском у 100000008172352100 — признаки вторичного перераспределения малых сумм.",0,90265,12920,1,0,1,0,0,0,9
32,10,0,1727065,100000004076740100;100000005519998100;100000004336312100;100000004017410100;100000003934614100,"Кластер 32 (10 узлов, внутр. 1.7 млн KZT при входе 46 тыс) демонстрирует признаки внутреннего «разгона» средств с координацией через 100000004076740100 и двумя транзитами 100000005519998100/100000004336312100 — гипотеза о промежуточном звене цепочки seed.",0,46250,8000,11,0,2,0,0,1,7
33,9,0,1406982,100000002217161100;100000007647294100;100000001445848100;100000000954884100;100000002242066100,"Кластер 33 (9 узлов, внутр. 1.4 млн KZT, внешнего выхода нет) выглядит как локальный контур с возможной полу-конечной точкой 100000007647294100 (385 тыс KZT) и крупным внутр. оборотом через 100000002217161100 — признаки концентрации средств на терминале.",0,52900,0,1,0,0,0,1,0,8
34,8,0,2473418,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,"Кластер 34 (8 узлов, внутр. 2.5 млн KZT, выход 0) выглядит как веерная раздача от 100000004906181100 (пропуск 2473%) к нескольким 4-му колену, включая 100000008175078100 — признаки промежуточного распределителя внутри обрезанного фрагмента сети.",0,100000,0,0,0,0,0,0,0,8
35,8,0,389000,100000005507142100;100000001825934100;100000002612809100;100000005264874100;100000002214207100,"Кластер 35 (8 узлов, внутр. 389 тыс KZT, выход 0) похож на мелкий внутр. контур с несколькими активными получателями/отправителями (100000005507142100, 100000001825934100) и отсечёнными конечными получателями 4-го колена — признаки разбиения сумм на малые части.",0,23000,0,2,0,0,0,0,0,8
36,8,3,4597161,100000003404627100;100000008223661100;100000008232832100;100000002681449100;100000008637537100,"Кластер 36 (8 узлов, 3 seed, внутр. 4.6 млн KZT) напоминает узелный блок с конечным получателем 100000003404627100 (878 тыс KZT) и транзитом 100000008223661100 (пропуск 130%) при высоких объёмах у 100000008637537100 — признаки локальной консолидации и последующего вывода.",0,302638,120880,5,0,1,0,1,0,6
37,7,0,143000,100000005911352100;100000004508696100;100000003962994100;100000005127767100;100000000507799100,"Кластер 37 (7 узлов, внутр. 143 тыс KZT, вход ~5 тыс) с несколькими узлами с высоким относительным пропуском (100000005911352100, 100000004508696100) выглядит как малозначимый периферийный контур, возможное доразбиение уже фрагментированных сумм.",0,5132,0,1,0,0,0,0,0,7
38,7,0,3077000,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,"Кластер 38 (7 узлов, внутр. 3.1 млн KZT, вход 280 тыс, выход 0) напоминает веерную структуру: от 100000002241986100 (пропуск 1099%) средства расходятся к конечным 4-го колена (100000001053894100, 100000002594214100) — признаки скрытой финальной раздачи.",0,280000,0,0,0,0,0,0,0,7
39,7,0,1765600,100000007865484100;100000008551752100;100000003631015100;100000004976946100;100000005745873100,"Кластер 39 (7 узлов, внутр. 1.8 млн KZT, выход 0) выглядит как простая веерная раздача без явного коорд. узла: несколько получателей 4-го колена (100000007865484100, 100000008551752100) с близкими суммами — признаки финального «рассаживания» средств по периферии.",0,9613,0,0,0,0,0,0,0,7
40,7,0,1268308,100000008011159100;100000006169033100;100000005754335100;100000003888527100;100000006232642100,"Кластер 40 (7 узлов, 0 seed) выглядит как небольшая внутренняя цепочка без явных ролей, с локальным концентраторам 100000006169033100 (вывел 1.1 млн KZT при входе 49 тыс). Гипотеза: техническая прокрутка средств внутри ограниченного круга клиентов.",0,17000,25000,1,0,0,0,0,0,7
41,6,1,1615030,100000008736940100;100000008751429100;100000005456919100;100000008193577100;100000008659445100,"Кластер 41 (6 узлов, 1 seed, 1.6 млн KZT) напоминает слабоструктурированную группу взаимных переводов без явного сборщика. Узлы 100000008736940100 и 100000008659445100 показывают умеренную прокрутку — гипотеза: периферийное рассредоточение средств seed.",4,0,0,14,0,0,0,0,0,6
42,6,1,1527967,100000005183943100;100000007939160100;100000007930878100;100000000955444100;100000003888271100,"Кластер 42 (6 узлов, 1 seed, 1.5 млн KZT) формирует цепочку с выраженным конечным получателем 100000005183943100 (681 тыс KZT без исходящих). Гипотеза: локальный контур с выводом части средств на терминал при слабой роли остальных (например, 100000007939160100).",5,0,0,2,0,0,0,1,0,5
43,6,0,2540000,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,"Кластер 43 (6 узлов, 0 seed, 2.54 млн KZT) выглядит как краткая цепочка с сильным концентраторам 100000004479404100 (вход 1.5 млн) и дальнейшим веером через 100000004717647100 (выход 2.2 млн на 4-е колено). Гипотеза: внутренний контур с последующим внешним рассеянием средств.",0,12000,0,1,0,0,0,0,0,6
44,6,1,275885,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,"Кластер 44 (6 узлов, 1 seed, 276 тыс KZT) представлен почти полностью «молчащими» получателями без исходящих ≥5000. Узлы 100000005895525100 и 100000002462183100 аккумулируют по 108–120 тыс KZT — гипотеза: мелкое дробление и «зависание» средств на периферии.",6,0,0,0,0,0,0,0,0,6
45,6,0,2534500,100000003747133100;100000004722765100;100000005075949100;100000002578653100;100000006527156100,"Кластер 45 (6 узлов, 0 seed, 2.53 млн KZT, вход 237 тыс) организован вокруг транзитного 100000003747133100 и концентратора 100000004722765100 (вывел 2.3 млн). Гипотеза: краткий транзитный контур с дальнейшим веером на узлы 4-го колена (например, 100000005075949100).",0,237068,0,0,0,1,0,0,0,5
46,6,0,720900,100000008761219100;100000006638021100;100000008333492100;100000007472293100;100000002794374100,"Кластер 46 (6 узлов, 0 seed, 720.9 тыс KZT, вход 55 тыс) демонстрирует резкую прокрутку через 100000008761219100 и 100000007472293100 (пропуск 750–6900%). Гипотеза: внутренняя перекладка с возможным выходом на обрезанные узлы 4-го колена (100000006638021100).",0,55000,0,0,0,0,0,0,0,6
47,6,1,383300,100000004331458100;100000005546031100;100000004094958100;100000005363908100;100000005547096100,"Кластер 47 (6 узлов, 1 seed, 383 тыс KZT) содержит небольшой транзитный контур (100000004094958100, 100000005363908100) с выводом на терминал 100000004331458100 (250 тыс KZT). Гипотеза: локальный маршрут для доведения части средств до конечного получателя.",7,0,0,1,0,2,0,1,0,3
48,5,0,1189154,100000000291906100;100000000291908100;100000004670388100;100000004722630100;100000004691350100,"Кластер 48 (5 узлов, 0 seed, 1.19 млн KZT, вход 8 тыс) образует компактный транзитный контур вокруг 100000000291906100 (пропуск 117%, возвратный цикл) и концентратора 100000004670388100 (выход 720 тыс). Гипотеза: внутренняя прокрутка с частичным выводом на 4-е колено (100000004722630100).",0,8000,0,1,0,1,0,0,0,4
49,5,0,172000,100000004659919100;100000005031696100;100000001223977100;100000002700161100;100000008461217100,"Кластер 49 (5 узлов, 0 seed, 172 тыс KZT, вход 5 тыс) показывает умеренную прокрутку через 100000004659919100 и 100000005031696100 (пропуск до 2300%) с дальнейшим уходом на обрезанные узлы 4-го колена (100000002700161100). Гипотеза: мелкий периферийный контур рассредоточения средств.",0,5000,0,0,0,0,0,0,0,5
50,5,0,338950,100000008190411100;100000003133045100;100000004747154100;100000004715209100;100000001498732100,"Кластер 50 (5 узлов, 0 seed) выглядит как мелкая развилка на 4‑м колене: один узел 100000004715209100 прогоняет ~339 тыс KZT, далее средства распадаются на терминальные периферии 100000008190411100 и 100000003133045100; признаки локальной развязки для проверки.",0,5000,11500,1,0,0,0,0,0,5
51,5,1,2809200,100000004135268100;100000007507343100;100000004979498100;100000002738256100;100000008571433100,"Кластер 51 (5 узлов, 1 seed, 2.8 млн KZT внутри) имеет выраженный транзитный контур с возвратами: через 100000004135268100 и 100000002738256100 проходит основная сумма, часть оседает на терминале 100000007507343100; признаки короткого цикла обналичивания/перераспределения seed-потоков.",8,0,0,3,0,2,0,1,0,2
52,5,2,108007,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"Кластер 52 (5 узлов, 2 seed, 108 тыс KZT внутри) напоминает периферийный сегмент с накоплением на ряде получателей: 100000006562026100 и 100000007347733100 только принимают (75 тыс и 23 тыс KZT без исходящих ≥5000), что даёт признаки мелкого рассеивания или вывода остатков seed-потоков.",9,0,0,0,0,0,0,0,0,5
53,4,0,460000,100000006069103100;100000000201868100;100000003192220100;100000006787636100,"4 узлов, 0 seed, внутри 460 тыс KZT (вход 39 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,38818,0,1,0,2,0,0,0,2
54,4,0,518000,100000003163886100;100000000629812100;100000002205022100;100000001380107100,"4 узлов, 0 seed, внутри 518 тыс KZT (вход 17 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,17100,0,0,0,0,0,1,0,3
55,4,1,1404980,100000001872484100;100000000785800100;100000002459163100;100000008601794100,"4 узлов, 1 seed, внутри 1.4 млн KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",10,0,0,2,0,1,0,0,0,3
56,4,0,1595700,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"4 узлов, 0 seed, внутри 1.6 млн KZT (вход 57 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,56520,0,0,0,0,0,0,0,4
57,4,1,79050,100000001852140100;100000006888238100;100000003148220100;100000004971871100,"4 узлов, 1 seed, внутри 79 тыс KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",11,0,0,1,0,0,0,0,0,4
58,4,0,332709,100000004610802100;100000002513028100;100000002516862100;100000004780083100,"4 узлов, 0 seed, внутри 333 тыс KZT (вход 10 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,9500,0,0,0,0,0,0,0,4
59,4,2,1499679,100000008730021100;100000008701944100;100000008418835100;100000004269433100,"4 узлов, 2 seed, внутри 1.5 млн KZT (вход 0, выход 58 тыс). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",0,0,58500,0,0,0,0,0,0,4
60,3,1,450000,100000002371751100;100000000769919100;100000007018630100,"3 узлов, 1 seed, внутри 450 тыс KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",12,0,0,0,0,1,0,0,0,2
61,3,1,390168,100000002781227100;100000002796853100;100000008522127100,"3 узлов, 1 seed, внутри 390 тыс KZT (вход 0, выход 13 тыс). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",0,0,13420,1,0,1,0,0,0,2
62,3,0,1557988,100000004035925100;100000008258458100;100000008619159100,"3 узлов, 0 seed, внутри 1.6 млн KZT (вход 19 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,19000,0,0,0,0,0,0,0,3
63,3,1,450816,100000005034574100;100000007283257100;100000004388983100,"3 узлов, 1 seed, внутри 451 тыс KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",13,0,0,0,0,0,0,0,0,3
64,3,0,627870,100000004666651100;100000005664632100;100000008628231100,"3 узлов, 0 seed, внутри 628 тыс KZT (вход 50 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,50000,0,0,0,0,0,1,0,2
65,2,0,761255,100000004586598100;100000000583220100,"2 узлов, 0 seed, внутри 761 тыс KZT (вход 5 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,5000,0,0,0,0,0,0,0,2
66,2,1,30000,100000003980083100;100000003200071100,"2 узлов, 1 seed, внутри 30 тыс KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",14,0,0,0,0,0,0,0,0,2
67,2,1,81465,100000003865939100;100000005392290100,"2 узлов, 1 seed, внутри 81 тыс KZT (вход 0, выход 0). Seed без выраженного сборщика — гипотеза: периферийная группа, деньги рассеиваются.",15,0,0,0,0,0,0,0,0,2
68,2,0,857500,100000008324800100;100000007390016100,"2 узлов, 0 seed, внутри 858 тыс KZT (вход 180 тыс, выход 0). Выраженной структуры не выявлено — требуется ручная проверка топ-узлов.",0,180000,0,1,0,1,0,0,0,1
69,1,1,0,100000000456947100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",16,0,0,0,0,0,0,0,0,1
70,1,1,0,100000003265658100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",17,0,0,0,0,0,0,0,0,1
71,1,1,0,100000003349739100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",18,0,0,0,0,0,0,0,0,1
72,1,1,0,100000003770083100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",19,0,0,0,0,0,0,0,0,1
73,1,1,0,100000004021459100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",20,0,0,0,0,0,0,0,0,1
74,1,1,0,100000004174835100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",21,0,0,0,0,0,0,0,0,1
75,1,1,0,100000005017150100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",22,0,0,0,0,0,0,0,0,1
76,1,1,0,100000005087431100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",23,0,0,0,0,0,0,0,0,1
77,1,1,0,100000005235389100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",24,0,0,0,0,0,0,0,0,1
78,1,1,0,100000005480435100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",25,0,0,0,0,0,0,0,0,1
79,1,1,0,100000005495722100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",26,0,0,0,0,0,0,0,0,1
80,1,1,0,100000005550592100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",27,0,0,0,0,0,0,0,0,1
81,1,1,0,100000005560900100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",28,0,0,0,0,0,0,0,0,1
82,1,1,0,100000005568407100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",29,0,0,0,0,0,0,0,0,1
83,1,1,0,100000008117324100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",30,0,0,0,0,0,0,0,0,1
84,1,1,0,100000008205000100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",31,0,0,0,0,0,0,0,0,1
85,1,1,0,100000008513251100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",32,0,0,0,0,0,0,0,0,1
86,1,1,0,100000008669037100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",33,0,0,0,0,0,0,0,0,1
87,1,1,0,100000008701222100,"изолированный seed: нет переводов ≥5000 KZT в июле, вне сети",34,0,0,0,0,0,0,0,0,1
